Wow!	वाह!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #6179147 (fastrizwaan)
Help!	बचाओ!	CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #459377 (minshirui)
Jump.	उछलो.	CC-BY 2.0 (France) Attribution: tatoeba.org #631038 (Shishir) & #6179121 (fastrizwaan)
Jump.	कूदो.	CC-BY 2.0 (France) Attribution: tatoeba.org #631038 (Shishir) & #6179122 (fastrizwaan)
Jump.	छलांग.	CC-BY 2.0 (France) Attribution: tatoeba.org #631038 (Shishir) & #6179123 (fastrizwaan)
Hello!	नमस्ते।	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #480306 (minshirui)
Hello!	नमस्कार।	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #480307 (minshirui)
Cheers!	वाह-वाह!	CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #6179113 (fastrizwaan)
Cheers!	चियर्स!	CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #6179114 (fastrizwaan)
Got it?	समझे कि नहीं?	CC-BY 2.0 (France) Attribution: tatoeba.org #455353 (FeuDRenais) & #494183 (minshirui)
I'm OK.	मैं ठीक हूँ।	CC-BY 2.0 (France) Attribution: tatoeba.org #433763 (CK) & #588502 (minshirui)
Awesome!	बहुत बढ़िया!	CC-BY 2.0 (France) Attribution: tatoeba.org #433512 (CK) & #6179061 (fastrizwaan)
Come in.	अंदर आ जाओ।	CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #476349 (minshirui)
Get out!	बाहर निकल जाओ!	CC-BY 2.0 (France) Attribution: tatoeba.org #266790 (CK) & #588488 (minshirui)
Go away!	चले जाओ!	CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #588489 (minshirui)
Goodbye!	ख़ुदा हाफ़िज़।	CC-BY 2.0 (France) Attribution: tatoeba.org #516745 (minshirui) & #516744 (minshirui)
Perfect!	उत्तम!	CC-BY 2.0 (France) Attribution: tatoeba.org #374568 (blay_paul) & #6179051 (fastrizwaan)
Perfect!	सही!	CC-BY 2.0 (France) Attribution: tatoeba.org #374568 (blay_paul) & #6179052 (fastrizwaan)
Welcome.	आपका स्वागत है।	CC-BY 2.0 (France) Attribution: tatoeba.org #138919 (CM) & #488703 (minshirui)
Welcome.	स्वागतम्।	CC-BY 2.0 (France) Attribution: tatoeba.org #138919 (CM) & #488705 (minshirui)
Have fun.	मज़े करना।	CC-BY 2.0 (France) Attribution: tatoeba.org #21267 (CK) & #588490 (minshirui)
Have fun.	मौज करना।	CC-BY 2.0 (France) Attribution: tatoeba.org #21267 (CK) & #588491 (minshirui)
Have fun.	मज़े करो।	CC-BY 2.0 (France) Attribution: tatoeba.org #21267 (CK) & #3539272 (nurendra)
I forgot.	मैं भूल गया।	CC-BY 2.0 (France) Attribution: tatoeba.org #436603 (lukaszpp) & #475962 (minshirui)
I forgot.	मैं भूल गई।	CC-BY 2.0 (France) Attribution: tatoeba.org #436603 (lukaszpp) & #475963 (minshirui)
I'll pay.	मैं पैसे दूंगा।	CC-BY 2.0 (France) Attribution: tatoeba.org #411285 (CK) & #588497 (minshirui)
I'm fine.	मैं ठीक हूँ।	CC-BY 2.0 (France) Attribution: tatoeba.org #257272 (Eldad) & #588502 (minshirui)
I'm full.	मेरा पेट भर गया है।	CC-BY 2.0 (France) Attribution: tatoeba.org #433863 (CK) & #588500 (minshirui)
Let's go!	चलो चलें!	CC-BY 2.0 (France) Attribution: tatoeba.org #241077 (CK) & #588570 (minshirui)
Answer me.	मुझे जवाब दो।	CC-BY 2.0 (France) Attribution: tatoeba.org #251060 (Eldad) & #518719 (minshirui)
Birds fly.	पंछी उड़ते हैं।	CC-BY 2.0 (France) Attribution: tatoeba.org #278213 (CK) & #588481 (minshirui)
Excuse me.	माफ़ कीजिए।	CC-BY 2.0 (France) Attribution: tatoeba.org #433504 (CK) & #588486 (minshirui)
Fantastic!	बहुत ख़ूब!	CC-BY 2.0 (France) Attribution: tatoeba.org #433511 (CK) & #6179060 (fastrizwaan)
I fainted.	मैं बेहोश हो गया।	CC-BY 2.0 (France) Attribution: tatoeba.org #20364 (CK) & #516705 (minshirui)
I fear so.	खेद की बात है, लेकिन वैसा ही है।	CC-BY 2.0 (France) Attribution: tatoeba.org #245257 (Zifre) & #3216268 (anubhav93)
I laughed.	मैं हँसा।	CC-BY 2.0 (France) Attribution: tatoeba.org #258713 (CK) & #588494 (minshirui)
I'm bored.	मैं बोर हो रहा हूँ।	CC-BY 2.0 (France) Attribution: tatoeba.org #431539 (Clavain) & #480204 (minshirui)
I'm broke.	मेरा दीवालिया हो चुका है।	CC-BY 2.0 (France) Attribution: tatoeba.org #18547 (CK) & #505155 (minshirui)
I'm tired.	मैं थक गया हूँ।	CC-BY 2.0 (France) Attribution: tatoeba.org #1705 (brauliobezerra) & #474799 (minshirui)
It's cold.	ठंड हो रही है।	CC-BY 2.0 (France) Attribution: tatoeba.org #1813 (CK) & #483769 (minshirui)
Well done!	शाबाश!	CC-BY 2.0 (France) Attribution: tatoeba.org #464478 (lukaszpp) & #6179203 (fastrizwaan)
Who knows?	कौन जाने?	CC-BY 2.0 (France) Attribution: tatoeba.org #276369 (CK) & #505387 (minshirui)
Who knows?	किसको पता है?	CC-BY 2.0 (France) Attribution: tatoeba.org #276369 (CK) & #505388 (minshirui)
Who knows?	किसे पता है?	CC-BY 2.0 (France) Attribution: tatoeba.org #276369 (CK) & #505389 (minshirui)
Who knows?	किसे मालूम है?	CC-BY 2.0 (France) Attribution: tatoeba.org #276369 (CK) & #505390 (minshirui)
Wonderful!	अद्भुत	CC-BY 2.0 (France) Attribution: tatoeba.org #433510 (CK) & #6179053 (fastrizwaan)
Birds sing.	पंछी गाते हैं।	CC-BY 2.0 (France) Attribution: tatoeba.org #278174 (CK) & #588482 (minshirui)
Come on in.	अंदर आ जाओ।	CC-BY 2.0 (France) Attribution: tatoeba.org #348107 (Zifre) & #476349 (minshirui)
Definitely!	निश्चित ही	CC-BY 2.0 (France) Attribution: tatoeba.org #30542 (CM) & #6178948 (fastrizwaan)
Don't move.	हिलो मत।	CC-BY 2.0 (France) Attribution: tatoeba.org #433502 (CK) & #588484 (minshirui)
Fire burns.	आग जलाती है।	CC-BY 2.0 (France) Attribution: tatoeba.org #23865 (CM) & #457112 (minshirui)
Follow him.	उसका पीछा करो।	CC-BY 2.0 (France) Attribution: tatoeba.org #433754 (CK) & #588487 (minshirui)
